Model,Accuracy,F1 Weighted,F1 Macro
XGBoost,0.5745104735883424,0.5725713386635324,0.5697060682802999
CNN-LSTM,0.5256293427497437,0.523280463551458,0.5203963602413734
TCN-Attention,0.5067228805834093,0.5062206399282579,0.5027259652801318
