Class,XGB F1,CNN F1,TCN F1
DOWN,0.5576863911393704,0.5326730922274295,0.5031642826181187
SIDEWAYS,0.5989208633093526,0.5524470669906283,0.5400615204335726
UP,0.5525109503921768,0.47606892150606256,0.464952092788704
